id,type,benchmark_group,route_policy,expected_route,difficulty,skill_tags,question,ground_truth,analysis_summary,analysis_mode,proposed_answer,final_answer,critic_triggered,tool_answer_used,rag_used,rag_ranking_mode,rag_confidence_bucket,rag_top_score,rag_selected_top_k,rag_sources,rag_error,pipeline_route,tool_calls,model_calls
net_1_12061_4,network,deterministic_tool,tool_first,tool,easy,"[""tool_calling"", ""label_tool"", ""zero_token_answer""]",Was movement present in this segment?,"No, there was no movement during this session.",[ToolRouter] Deterministic tool answer used.,tool_router,The user was stationary.,The user was stationary.,False,True,False,,,,,[],,tool_router -> critic,"[{""tool"": ""get_network_label"", ""args"": {""case_id"": ""net_1_12061_4"", ""label"": ""mobility""}, ""result"": ""No"", ""success"": true, ""error"": null}]",[]
mix_0_8379_0,composite,multi_tool_composite,multi_tool,multi_tool,medium,"[""tool_calling"", ""multi_tool"", ""structured_answer""]","Return the application, zone, mobility, congestion, and anomaly status for this session.",Application: Twitch; Zone: A; Mobility: No; Congestion: No; Anomaly: No.,[ToolRouter] Deterministic tool answer used.,tool_router,Application: Twitch; Zone: A; Mobility: No; Congestion: No; Anomaly: No.,Application: Twitch; Zone: A; Mobility: No; Congestion: No; Anomaly: No.,False,True,False,,,,,[],,tool_router -> critic,"[{""tool"": ""get_network_label"", ""args"": {""case_id"": ""mix_0_8379_0"", ""label"": ""application""}, ""result"": ""Twitch"", ""success"": true, ""error"": null}, {""tool"": ""get_network_label"", ""args"": {""case_id"": ""mix_0_8379_0"", ""label"": ""zone""}, ""result"": ""A"", ""success"": true, ""error"": null}, {""tool"": ""get_network_label"", ""args"": {""case_id"": ""mix_0_8379_0"", ""label"": ""mobility""}, ""result"": ""No"", ""success"": true, ""error"": null}, {""tool"": ""get_network_label"", ""args"": {""case_id"": ""mix_0_8379_0"", ""label"": ""congestion""}, ""result"": ""No"", ""success"": true, ""error"": null}, {""tool"": ""get_network_label"", ""args"": {""case_id"": ""mix_0_8379_0"", ""label"": ""anomaly_present""}, ""result"": ""No"", ""success"": true, ""error"": null}]",[]
ts_1_4825_8,timeseries,deterministic_tool,tool_first,tool,easy,"[""tool_calling"", ""kpi_stat_tool"", ""zero_token_answer""]",What is the average value of UL_SNR?,The mean of UL_SNR is 21.71,[ToolRouter] Deterministic tool answer used.,tool_router,The mean of UL_SNR is 21.710,The mean of UL_SNR is 21.710,False,True,False,,,,,[],,tool_router -> critic,"[{""tool"": ""get_kpi_stat"", ""args"": {""case_id"": ""ts_1_4825_8"", ""kpi"": ""ul_snr"", ""metric"": ""mean""}, ""result"": 21.7097265625, ""success"": true, ""error"": null}]",[]
agent_net_1_14532_3,network,regular_network_agent,agent_first,local_or_flash,medium,"[""analyst_agent"", ""solver_agent"", ""local_first_routing""]",Is this a congested or uncongested session?,This session was uncongested.,"- Signal Quality: poor; RSRP=-112.000, UL_SNR=21.216.
- Reliability: normal error; UL_BLER=0.000, DL_BLER=0.000.
- Resource/Traffic: light load; PRB_DL=0.005, PRB_UL=0.026, TX_Bytes=35.953, RX_Bytes=210.164.
- Note: This deterministic summary is derived only from KPI statistics; it does not expose benchmark labels or ground-truth categories.",deterministic,This is an uncongested session.,This is an uncongested session.,False,False,False,,,,,[],,agent -> critic,[],"[{""mode"": ""hybrid"", ""task"": ""solver"", ""provider"": ""deepseek_flash"", ""model"": ""deepseek-v4-flash"", ""latency_ms"": 1405.16, ""fallback_used"": false, ""route_reason"": ""complex solver task uses flash first"", ""route_backends"": [""deepseek_flash"", ""deepseek_pro"", ""local""], ""route_signals"": {""task"": ""solver"", ""prompt_chars"": 2762, ""max_tokens"": 128, ""long_context"": false, ""short_context"": true, ""case_id"": ""agent_net_1_14532_3"", ""item_type"": ""network"", ""format_sensitive"": true, ""budget_max_tokens"": 128, ""budget_reason"": ""standard solver answer"", ""estimated_prompt_tokens"": 690, ""has_rag"": false, ""low_rag_confidence"": false}, ""quality_issue"": null, ""attempts"": [{""backend"": ""deepseek_flash"", ""provider"": ""deepseek_flash"", ""model"": ""deepseek-v4-flash"", ""latency_ms"": 1405.16, ""request_max_tokens"": 512, ""quality_issue"": null, ""accepted"": true, ""usage"": {""completion_tokens"": 94, ""prompt_tokens"": 836, ""total_tokens"": 930, ""prompt_tokens_details"": {""cached_tokens"": 256}, ""completion_tokens_details"": {""reasoning_tokens"": 85}, ""prompt_cache_hit_tokens"": 256, ""prompt_cache_miss_tokens"": 580}}], ""usage"": {""completion_tokens"": 94, ""prompt_tokens"": 836, ""total_tokens"": 930, ""prompt_tokens_details"": {""cached_tokens"": 256}, ""completion_tokens_details"": {""reasoning_tokens"": 85}, ""prompt_cache_hit_tokens"": 256, ""prompt_cache_miss_tokens"": 580}}]"
heavy_net_0_1058_3,network,heavy_load_reasoning,agent_first,flash,hard,"[""analyst_agent"", ""solver_agent"", ""llm_reasoning"", ""budget_routing""]",Was the network under heavy load or performing well?,Traffic flowed normally during this period.,"- Signal Quality: poor; RSRP=-117.000, UL_SNR=20.687.
- Reliability: high error; UL_BLER=0.119, DL_BLER=0.001.
- Resource/Traffic: light load; PRB_DL=21.515, PRB_UL=7.381, TX_Bytes=51878.922, RX_Bytes=2045.438.
- Note: This deterministic summary is derived only from KPI statistics; it does not expose benchmark labels or ground-truth categories.",deterministic,"The network was under light load, not heavy load.","The network was under light load, not heavy load.",False,False,False,,,,,[],,agent -> critic,[],"[{""mode"": ""hybrid"", ""task"": ""solver"", ""provider"": ""deepseek_flash"", ""model"": ""deepseek-v4-flash"", ""latency_ms"": 2911.2, ""fallback_used"": false, ""route_reason"": ""complex solver task uses flash first"", ""route_backends"": [""deepseek_flash"", ""deepseek_pro"", ""local""], ""route_signals"": {""task"": ""solver"", ""prompt_chars"": 2809, ""max_tokens"": 128, ""long_context"": false, ""short_context"": true, ""case_id"": ""heavy_net_0_1058_3"", ""item_type"": ""network"", ""format_sensitive"": true, ""budget_max_tokens"": 128, ""budget_reason"": ""standard solver answer"", ""estimated_prompt_tokens"": 702, ""has_rag"": false, ""low_rag_confidence"": false}, ""quality_issue"": null, ""attempts"": [{""backend"": ""deepseek_flash"", ""provider"": ""deepseek_flash"", ""model"": ""deepseek-v4-flash"", ""latency_ms"": 2911.2, ""request_max_tokens"": 512, ""quality_issue"": null, ""accepted"": true, ""usage"": {""completion_tokens"": 309, ""prompt_tokens"": 844, ""total_tokens"": 1153, ""prompt_tokens_details"": {""cached_tokens"": 256}, ""completion_tokens_details"": {""reasoning_tokens"": 297}, ""prompt_cache_hit_tokens"": 256, ""prompt_cache_miss_tokens"": 588}}], ""usage"": {""completion_tokens"": 309, ""prompt_tokens"": 844, ""total_tokens"": 1153, ""prompt_tokens_details"": {""cached_tokens"": 256}, ""completion_tokens_details"": {""reasoning_tokens"": 297}, ""prompt_cache_hit_tokens"": 256, ""prompt_cache_miss_tokens"": 588}}]"
agent_net_0_9417_1,network,regular_network_agent,agent_first,local_or_flash,medium,"[""analyst_agent"", ""solver_agent"", ""local_first_routing""]","Can you identify the zone, A, B, or C?",Zone A was the user's location.,"- Signal Quality: moderate; RSRP=-103.783, UL_SNR=21.375.
- Reliability: normal error; UL_BLER=0.000, DL_BLER=0.000.
- Resource/Traffic: light load; PRB_DL=0.006, PRB_UL=0.028, TX_Bytes=35.953, RX_Bytes=211.289.
- Note: This deterministic summary is derived only from KPI statistics; it does not expose benchmark labels or ground-truth categories.",deterministic,"No, the zone cannot be identified.","No, the zone cannot be identified.",False,False,False,,,,,[],,agent -> critic,[],"[{""mode"": ""hybrid"", ""task"": ""solver"", ""provider"": ""deepseek_flash"", ""model"": ""deepseek-v4-flash"", ""latency_ms"": 2808.52, ""fallback_used"": false, ""route_reason"": ""complex solver task uses flash first"", ""route_backends"": [""deepseek_flash"", ""deepseek_pro"", ""local""], ""route_signals"": {""task"": ""solver"", ""prompt_chars"": 2647, ""max_tokens"": 128, ""long_context"": false, ""short_context"": true, ""case_id"": ""agent_net_0_9417_1"", ""item_type"": ""network"", ""format_sensitive"": true, ""budget_max_tokens"": 128, ""budget_reason"": ""standard solver answer"", ""estimated_prompt_tokens"": 661, ""has_rag"": false, ""low_rag_confidence"": false}, ""quality_issue"": null, ""attempts"": [{""backend"": ""deepseek_flash"", ""provider"": ""deepseek_flash"", ""model"": ""deepseek-v4-flash"", ""latency_ms"": 2808.52, ""request_max_tokens"": 512, ""quality_issue"": null, ""accepted"": true, ""usage"": {""completion_tokens"": 258, ""prompt_tokens"": 807, ""total_tokens"": 1065, ""prompt_tokens_details"": {""cached_tokens"": 256}, ""completion_tokens_details"": {""reasoning_tokens"": 249}, ""prompt_cache_hit_tokens"": 256, ""prompt_cache_miss_tokens"": 551}}], ""usage"": {""completion_tokens"": 258, ""prompt_tokens"": 807, ""total_tokens"": 1065, ""prompt_tokens_details"": {""cached_tokens"": 256}, ""completion_tokens_details"": {""reasoning_tokens"": 249}, ""prompt_cache_hit_tokens"": 256, ""prompt_cache_miss_tokens"": 551}}]"
ts_1_1499_47,timeseries,deterministic_tool,tool_first,tool,easy,"[""tool_calling"", ""kpi_stat_tool"", ""zero_token_answer""]",What is the variance of RX_Bytes?,The variance of RX_Bytes is 4772702.728,[ToolRouter] Deterministic tool answer used.,tool_router,The variance of RX_Bytes is 4772702.728,The variance of RX_Bytes is 4772702.728,False,True,False,,,,,[],,tool_router -> critic,"[{""tool"": ""get_kpi_stat"", ""args"": {""case_id"": ""ts_1_1499_47"", ""kpi"": ""RX_Bytes"", ""metric"": ""variance""}, ""result"": 4772702.728100394, ""success"": true, ""error"": null}]",[]
net_0_15556_2,network,deterministic_tool,tool_first,tool,easy,"[""tool_calling"", ""label_tool"", ""zero_token_answer""]",Was the environment jammed or interference-free?,This period was free of jamming activity.,[ToolRouter] Deterministic tool answer used.,tool_router,No anomaly was present.,No anomaly was present.,False,True,False,,,,,[],,tool_router -> critic,"[{""tool"": ""get_anomaly_info"", ""args"": {""case_id"": ""net_0_15556_2""}, ""result"": {""exists"": false, ""type"": """", ""anomaly_duration"": {""start"": null, ""end"": null}, ""affected_kpis"": [""""], ""troubleshooting_tickets"": """"}, ""success"": true, ""error"": null}]",[]
ts_1_6150_55,timeseries,deterministic_tool,tool_first,tool,easy,"[""tool_calling"", ""kpi_stat_tool"", ""zero_token_answer""]",What is the average value of DL_NumberOfPackets?,The mean of DL_NumberOfPackets is 227.18,[ToolRouter] Deterministic tool answer used.,tool_router,The mean of DL_NumberOfPackets is 227.180,The mean of DL_NumberOfPackets is 227.180,False,True,False,,,,,[],,tool_router -> critic,"[{""tool"": ""get_kpi_stat"", ""args"": {""case_id"": ""ts_1_6150_55"", ""kpi"": ""dl_numberofpackets"", ""metric"": ""mean""}, ""result"": 227.1796875, ""success"": true, ""error"": null}]",[]
agent_net_0_10752_3,network,regular_network_agent,agent_first,local_or_flash,medium,"[""analyst_agent"", ""solver_agent"", ""local_first_routing""]",Was the network congested or operating normally?,The network was not congested.,"- Signal Quality: good; RSRP=-87.000, UL_SNR=21.279.
- Reliability: normal error; UL_BLER=0.000, DL_BLER=0.000.
- Resource/Traffic: light load; PRB_DL=0.006, PRB_UL=0.024, TX_Bytes=35.953, RX_Bytes=209.539.
- Note: This deterministic summary is derived only from KPI statistics; it does not expose benchmark labels or ground-truth categories.",deterministic,The network was operating normally.,The network was operating normally.,False,False,False,,,,,[],,agent -> critic,[],"[{""mode"": ""hybrid"", ""task"": ""solver"", ""provider"": ""deepseek_flash"", ""model"": ""deepseek-v4-flash"", ""latency_ms"": 1551.53, ""fallback_used"": false, ""route_reason"": ""complex solver task uses flash first"", ""route_backends"": [""deepseek_flash"", ""deepseek_pro"", ""local""], ""route_signals"": {""task"": ""solver"", ""prompt_chars"": 2642, ""max_tokens"": 128, ""long_context"": false, ""short_context"": true, ""case_id"": ""agent_net_0_10752_3"", ""item_type"": ""network"", ""format_sensitive"": true, ""budget_max_tokens"": 128, ""budget_reason"": ""standard solver answer"", ""estimated_prompt_tokens"": 660, ""has_rag"": false, ""low_rag_confidence"": false}, ""quality_issue"": null, ""attempts"": [{""backend"": ""deepseek_flash"", ""provider"": ""deepseek_flash"", ""model"": ""deepseek-v4-flash"", ""latency_ms"": 1551.53, ""request_max_tokens"": 512, ""quality_issue"": null, ""accepted"": true, ""usage"": {""completion_tokens"": 90, ""prompt_tokens"": 801, ""total_tokens"": 891, ""prompt_tokens_details"": {""cached_tokens"": 256}, ""completion_tokens_details"": {""reasoning_tokens"": 83}, ""prompt_cache_hit_tokens"": 256, ""prompt_cache_miss_tokens"": 545}}], ""usage"": {""completion_tokens"": 90, ""prompt_tokens"": 801, ""total_tokens"": 891, ""prompt_tokens_details"": {""cached_tokens"": 256}, ""completion_tokens_details"": {""reasoning_tokens"": 83}, ""prompt_cache_hit_tokens"": 256, ""prompt_cache_miss_tokens"": 545}}]"
